Depart,Arrivee,Distance
GNV,MCO,168542.731694
GNV,TPA,192346.595535
JAX,MHH,631169.076618
JAX,TPA,291816.390675
LWB,ATL,593604.140507
MCN,ATL,127556.813131
MCN,MCO,524314.785957
MCO,FLL,285900.412814
MCO,GNV,168542.731694
MCO,MCN,524314.785957
MCO,MHH,468216.867821
MCO,PNS,612700.293978
MCO,RSW,215068.284072
MCO,TLH,366888.690563
MEI,ATL,428522.598971
MHH,FLL,309839.182472
MHH,JAX,631169.076618
MHH,MCO,468216.867821
MHH,PBI,300089.324096
MSL,ATL,317561.215497
PBI,ELH,366290.651168
PBI,MHH,300089.324096
PBI,TPA,280406.984926
PIB,ATL,519429.42286
PNS,MCO,612700.293978
PNS,TPA,530070.874237
RSW,EYW,220172.6219
RSW,MCO,215068.284072
TCB,FLL,285002.983881
TLH,MCO,366888.690563
TLH,TPA,321839.020216
TPA,EYW,387959.62869
TPA,FLL,316798.402791
TPA,GNV,192346.595535
TPA,JAX,291816.390675
TPA,PBI,280406.984926
TPA,PNS,530070.874237
TPA,TLH,321839.020216
TUP,ATL,406548.11814
TUP,GLH,222399.912303
AMS,NDR,2022507.56471
AMS,TNG,2026956.89742
BCN,CMN,1226516.81221
BCN,NDR,831171.091744
BCN,TNG,930672.036801
BGY,CMN,2010086.00931
BLQ,CMN,2042690.92609
BRU,CMN,2182666.05915
BRU,NDR,1869694.99708
BRU,TNG,1881241.9796
CGN,NDR,1945739.55764
CMN,BCN,1226516.81221
CMN,BGY,2010086.00931
CMN,BLQ,2042690.92609
CMN,BRU,2182666.05915
CMN,CUF,1804262.66778
CMN,LGW,2066200.39611
CMN,LYS,1747796.37387
CMN,MPL,1513618.7864
CMN,SAW,3349833.73492
CMN,TLS,1379827.19305
CMN,TSF,2168045.40345
CUF,CMN,1804262.66778
FEZ,MPL,1321980.707
LGW,CMN,2066200.39611
LGW,TNG,1774626.02071
LYS,CMN,1747796.37387
MPL,CMN,1513618.7864
MPL,FEZ,1321980.707
MPL,NDR,1127668.89461
NDR,AMS,2022507.56471
NDR,BCN,831171.091744
NDR,BRU,1869694.99708
NDR,CGN,1945739.55764
NDR,MPL,1127668.89461
NDR,PMI,718748.518288
PMI,NDR,718748.518288
SAW,CMN,3349833.73492
TLS,CMN,1379827.19305
TNG,AMS,2026956.89742
TNG,BCN,930672.036801
TNG,BRU,1881241.9796
TNG,LGW,1774626.02071
TSF,CMN,2168045.40345
AUA,LSP,81486.5325338
AUA,MAR,285482.616034
BON,CUR,75417.9173356
CUR,AUA,119794.89571
